课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
信号与系统,2,于晶荣,副教授,015513,,0/3,,"电气1703,电气1702,电气1701",1-8,10506,B座514,自动化科学与技术系
信号与系统,2,于晶荣,副教授,015513,,0/3,,"电气1703,电气1702,电气1701",1-8,50708,B座514,自动化科学与技术系
民法总论,3,"余卫明,许中缘","教授,教授",015519,,104/4,,"法学类1803,法学类1804,法学类1801,法学类1802",1-12,20102,B座118,民商法学
民法总论,3,"余卫明,许中缘","教授,教授",015519,,104/4,,"法学类1803,法学类1804,法学类1801,法学类1802",1-12,40102,B座118,民商法学
民法总论,3,"余卫明,许中缘","教授,教授",015521,,70/3,,"法学类1805,法学类1806,法学类1807",1-12,40304,B座117,民商法学
民法总论,3,"余卫明,许中缘","教授,教授",015521,,70/3,,"法学类1805,法学类1806,法学类1807",1-12,20304,B座117,民商法学
行政法与行政诉讼法,4,徐靖,副教授,015526,,87/3,,"法学1701,法学1703,法学1702",1-16,10304,B座117,宪法学与行政法学
行政法与行政诉讼法,4,徐靖,副教授,015526,,87/3,,"法学1701,法学1703,法学1702",1-16,30304,B座117,宪法学与行政法学
行政法与行政诉讼法,4,敖双红,教授,015528,,56/2,,"法学1705,法学1704",1-16,30304,B座101,宪法学与行政法学
行政法与行政诉讼法,4,敖双红,教授,015528,,56/2,,"法学1705,法学1704",1-16,10304,B座101,宪法学与行政法学
虚拟仪器,2,熊红云,副教授,015535,,67/5,,"测控1603,自动化1602,测控1601,测控1602,自动化1601",1-8,50708,B座502,自动化科学与技术系
虚拟仪器,2,熊红云,副教授,015535,,67/5,,"测控1603,自动化1602,测控1601,测控1602,自动化1601",1-8,30910,B座502,自动化科学与技术系
面向对象编程（C++）,3,"谢永芳,王晓丽","教授,副教授",015539,,61/2,,"自动化与电气类1804,自动化与电气类1805",1-8,50708,B座501,自动化科学与技术系
面向对象编程（C++）,3,"谢永芳,王晓丽","教授,副教授",015539,,61/2,,"自动化与电气类1804,自动化与电气类1805",1-8,20708,B座501,自动化科学与技术系
面向对象编程（C++）,3,"谢永芳,王晓丽","教授,副教授",015539,,61/2,,"自动化与电气类1804,自动化与电气类1805",1-8,40102,B座501,自动化科学与技术系
面向对象编程（C++）,3,"叶华文,李勇刚","教授,教授",015541,,62/2,,"自动化与电气类1807,自动化与电气类1806",1-8,20506,B座510,自动化科学与技术系
面向对象编程（C++）,3,"叶华文,李勇刚","教授,教授",015541,,62/2,,"自动化与电气类1807,自动化与电气类1806",1-8,10910,B座508,自动化科学与技术系
面向对象编程（C++）,3,"叶华文,李勇刚","教授,教授",015541,,62/2,,"自动化与电气类1807,自动化与电气类1806",1-8,50102,B座508,自动化科学与技术系
面向对象编程（C++）,3,"李勇刚,叶华文","教授,教授",015543,,93/3,,"自动化与电气类1809,自动化与电气类1810,自动化与电气类1808",1-8,50304,B座512,自动化科学与技术系
面向对象编程（C++）,3,"李勇刚,叶华文","教授,教授",015543,,93/3,,"自动化与电气类1809,自动化与电气类1810,自动化与电气类1808",1-8,40506,B座514,自动化科学与技术系
面向对象编程（C++）,3,"李勇刚,叶华文","教授,教授",015543,,93/3,,"自动化与电气类1809,自动化与电气类1810,自动化与电气类1808",1-8,20910,B座512,自动化科学与技术系
面向对象编程（C++）,3,"岑丽辉,陈晓方","副教授,教授",015546,,91/3,,"自动化与电气类1813,自动化与电气类1811,自动化与电气类1812",1-8,40506,B座506,自动化科学与技术系
面向对象编程（C++）,3,"岑丽辉,陈晓方","副教授,教授",015546,,91/3,,"自动化与电气类1813,自动化与电气类1811,自动化与电气类1812",1-8,50910,B座502,自动化科学与技术系
面向对象编程（C++）,3,"岑丽辉,陈晓方","副教授,教授",015546,,91/3,,"自动化与电气类1813,自动化与电气类1811,自动化与电气类1812",1-8,10910,B座502,自动化科学与技术系
面向对象编程（C++）,3,"陈晓方,岑丽辉","教授,副教授",015549,,61/2,,"自动化与电气类1815,自动化与电气类1814",1-8,50506,B座502,自动化科学与技术系
面向对象编程（C++）,3,"陈晓方,岑丽辉","教授,副教授",015549,,61/2,,"自动化与电气类1815,自动化与电气类1814",1-8,30910,B座517,自动化科学与技术系
面向对象编程（C++）,3,"陈晓方,岑丽辉","教授,副教授",015549,,61/2,,"自动化与电气类1815,自动化与电气类1814",1-8,10708,B座519,自动化科学与技术系
面向对象编程（C++）,3,唐朝晖,教授,015551,,90/3,,"自动化与电气类1817,自动化与电气类1816,自动化与电气类1818",1-8,10910,B座501,自动化科学与技术系
面向对象编程（C++）,3,唐朝晖,教授,015551,,90/3,,"自动化与电气类1817,自动化与电气类1816,自动化与电气类1818",1-8,30910,B座508,自动化科学与技术系
面向对象编程（C++）,3,唐朝晖,教授,015551,,90/3,,"自动化与电气类1817,自动化与电气类1816,自动化与电气类1818",1-8,50304,B座517,自动化科学与技术系
