课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
宝玉石鉴赏,2,胡斌,副教授,000003,,0/0,,,1-16,40910,C座209,地球科学与信息物理学院
透过卫星看地球,2,冯光财,副教授,000004,,0/0,,,1-16,40910,C座109,地球科学与信息物理学院
形势与政策,1,李建军,副研究员,000007,,128/5,,"地物1703,地质1701,地质1702,遥感1701,生医1701","7,13",50506,A座310,形势与政策教研中心
理工学术英语,2,刘喜荣,讲师（高校）,000011,,0/1,,地质1701,1-16,50708,外语网络楼449,大学外语部
理工学术英语,2,李俊芳,副教授,000012,,0/1,,地质1702,1-16,20102,外语网络楼352,大学外语部
弹性力学（后半学期）,2,曹函,副教授,000013,,0/2,,"地质1701,地质1702",9-16,10506,B座403,地质工程系
弹性力学（后半学期）,2,曹函,副教授,000013,,0/2,,"地质1701,地质1702",9-16,30910,B座403,地质工程系
马克思主义基本原理概论,3,彭芬,讲师（高校）,000015,,52/2,,"地质1702,地质1701",1-16,50304,B座214,马克思基本原理教研室
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,20304,B座420,地质工程系
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,40506,B座205,地质工程系
工程地质与水文地质,3,金福喜,副教授,000017,,0/2,,"地质1701,地质1702",1-8,10506,B座420,地质工程系
岩土钻掘工艺学,4,张绍和,教授,000019,,52/2,,"地质1702,地质1701",1-16,20506,B座420,地质工程系
岩土钻掘工艺学,4,张绍和,教授,000019,,52/2,,"地质1702,地质1701",1-16,40102,B座420,地质工程系
机械设计基础A,4,邓跃红,副教授,000021,,52/2,,"地质1702,地质1701",1-16,30102,A座114,机械设计系
机械设计基础A,4,邓跃红,副教授,000021,,52/2,,"地质1702,地质1701",1-16,10304,A座114,机械设计系
材料力学C,4,王宁波,副教授,000023,,52/2,,"地质1702,地质1701",1-16,30304,A座310,力学系
材料力学C,4,王宁波,副教授,000023,,52/2,,"地质1702,地质1701",1-16,10102,A座310,力学系
大学生心理健康教育,1,周湘莲,教授,000029,,85/3,,"地信类1803,地信类1801,地信类1802",9-16,30304,A座119,思想政治教育系
大学生心理健康教育,1,颜峰,教授,000034,,73/3,,"地信类1813,地信类1814,电子信息类1801",9-16,40708,C座310,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000035,,86/3,,"地信类1812,地信类1811,地信类1810",9-16,20304,A座119,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000037,,84/3,,"地信类1808,地信类1807,地信类1809",9-16,20506,A座119,思想政治教育系
大学生心理健康教育,1,周湘莲,教授,000039,,75/3,,"地信类1806,地信类1805,地信类1804",9-16,30102,A座119,思想政治教育系
形势与政策,2,李建军,副研究员,000071,,136/5,,"地信类1803,地信类1805,地信类1802,地信类1801,地信类1804","8,14",30708,D座205,形势与政策教研中心
形势与政策,2,李建军,副研究员,000074,,138/5,,"地信类1810,地信类1808,地信类1809,地信类1806,地信类1807","8,14",30506,D座205,形势与政策教研中心
工程经济与管理,2,王敏,讲师（高校）,000085,,0/2,,"地信类1802,地信类1801",1-8,10910,C座308,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000085,,0/2,,"地信类1802,地信类1801",1-8,30910,C座310,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000087,,0/2,,"地信类1803,地信类1804",1-8,20304,C座310,工程管理系
工程经济与管理,2,王敏,讲师（高校）,000087,,0/2,,"地信类1803,地信类1804",1-8,50506,C座310,工程管理系
工程经济与管理,2,陈辉华,副教授,000089,,0/2,,"地信类1805,地信类1806",1-8,20304,A座308,工程管理系
工程经济与管理,2,陈辉华,副教授,000089,,0/2,,"地信类1805,地信类1806",1-8,50102,A座102,工程管理系
工程经济与管理,2,傅纯,讲师（高校）,000090,,0/2,,"地信类1814,地信类1813",1-8,50102,A座110,工程管理系
工程经济与管理,2,傅纯,讲师（高校）,000090,,0/2,,"地信类1814,地信类1813",1-8,20304,A座110,工程管理系
工程经济与管理,2,"王青娥,张彦春","副教授,副教授",000093,,0/2,,"地信类1808,地信类1807",1-8,50708,C座108,工程管理系
工程经济与管理,2,"王青娥,张彦春","副教授,副教授",000093,,0/2,,"地信类1808,地信类1807",1-8,20304,C座103,工程管理系
工程经济与管理,2,郑勇强,讲师（高校）,000096,,0/2,,"地信类1812,地信类1811",1-8,30910,C座407,工程管理系
工程经济与管理,2,郑勇强,讲师（高校）,000096,,0/2,,"地信类1812,地信类1811",1-8,10910,C座402,工程管理系
工程经济与管理,2,"张彦春,王青娥","副教授,副教授",000098,,0/2,,"地信类1809,地信类1810",1-8,10910,C座310,工程管理系
工程经济与管理,2,"张彦春,王青娥","副教授,副教授",000098,,0/2,,"地信类1809,地信类1810",1-8,30910,C座404,工程管理系
公共管理学,2,刘春湘,教授,000099,,0/7,,"地信类1801,地信类1807,地信类1802,地信类1806,地信类1805,地信类1803,地信类1804",9-16,30910,B座112,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000099,,0/7,,"地信类1801,地信类1807,地信类1802,地信类1806,地信类1805,地信类1803,地信类1804",9-16,50910,B座114,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000111,,0/7,,"地信类1810,地信类1813,地信类1809,地信类1812,地信类1811,地信类1814,地信类1808",9-16,10910,B座213,人力资源与社会保障系
公共管理学,2,刘春湘,教授,000111,,0/7,,"地信类1810,地信类1813,地信类1809,地信类1812,地信类1811,地信类1814,地信类1808",9-16,50708,B座212,人力资源与社会保障系
知识产权法,2,刘强,教授,000113,,0/6,,"地信类1805,地信类1803,地信类1804,地信类1802,地信类1806,地信类1801",1-16,50304,A座201,知识产权法
知识产权法,2,易玲,副教授,000118,,0/4,,"地信类1814,地信类1813,地信类1812,地信类1811",1-16,50506,C座209,知识产权法
知识产权法,2,何炼红,教授,000122,,0/4,,"地信类1808,地信类1809,地信类1807,地信类1810",1-16,40304,C座407,知识产权法
大学英语（二）,3,赵启红,讲师（高校）,000127,,29/1,,地信类1801,1-16,20102,外语网络楼114,大学外语部
大学英语（二）,3,赵启红,讲师（高校）,000127,,29/1,,地信类1801,1-16,20304,外语网络楼224,大学外语部
大学英语（二）,3,周浩农,讲师（高校）,000128,,29/1,,地信类1802,1-16,20708,外语网络楼345,大学外语部
大学英语（二）,3,周浩农,讲师（高校）,000128,,29/1,,地信类1802,1-16,40304,外语网络楼114,大学外语部
大学英语（二）,3,马婧,讲师（高校）,000129,,27/1,,地信类1803,1-16,20102,外语网络楼136,大学外语部
大学英语（二）,3,马婧,讲师（高校）,000129,,27/1,,地信类1803,1-16,40506,外语网络楼114,大学外语部
大学英语（二）,3,傅春晖,副教授,000130,,28/1,,地信类1812,1-16,10102,外语网络楼345,大学外语部
大学英语（二）,3,傅春晖,副教授,000130,,28/1,,地信类1812,1-16,30304,外语网络楼114,大学外语部
大学英语（二）,3,傅晓燕,副教授,000131,,25/1,,地信类1805,1-16,20102,外语网络楼231,大学外语部
大学英语（二）,3,傅晓燕,副教授,000131,,25/1,,地信类1805,1-16,40304,外语网络楼103,大学外语部
大学英语（二）,3,屈典宁,副教授,000132,,25/1,,地信类1813,1-16,10304,外语网络楼137,大学外语部
大学英语（二）,3,屈典宁,副教授,000132,,25/1,,地信类1813,1-16,30102,外语网络楼104,大学外语部
大学英语（二）,3,许颖,讲师（高校）,000133,,30/1,,地信类1810,1-16,50102,A座321,大学外语部
大学英语（二）,3,许颖,讲师（高校）,000133,,30/1,,地信类1810,1-16,20506,外语网络楼223,大学外语部
大学英语（二）,3,颜靖平,副教授,000134,,27/1,,地信类1814,1-16,30102,外语网络楼230,大学外语部
大学英语（二）,3,颜靖平,副教授,000134,,27/1,,地信类1814,1-16,10304,外语网络楼102,大学外语部
大学英语（二）,3,谭水清,讲师（高校）,000135,,27/1,,地信类1807,1-16,40506,外语网络楼231,大学外语部
大学英语（二）,3,谭水清,讲师（高校）,000135,,27/1,,地信类1807,1-16,10102,A座319,大学外语部
大学英语（二）,3,张爱兰,副教授,000136,,24/1,,地信类1806,1-16,20506,外语网络楼135,大学外语部
大学英语（二）,3,张爱兰,副教授,000136,,24/1,,地信类1806,1-16,40708,外语网络楼103,大学外语部
大学英语（二）,3,姚忠,讲师（高校）,000137,,26/1,,地信类1804,1-16,10708,外语网络楼453,大学外语部
大学英语（二）,3,姚忠,讲师（高校）,000137,,26/1,,地信类1804,1-16,40102,外语网络楼104,大学外语部
大学英语（二）,3,张永玲,副教授,000138,,28/1,,地信类1811,1-16,30304,外语网络楼344,大学外语部
大学英语（二）,3,张永玲,副教授,000138,,28/1,,地信类1811,1-16,10102,A座123,大学外语部
大学英语（二）,3,张向萌,讲师（高校）,000139,,26/1,,地信类1808,1-16,20708,外语网络楼344,大学外语部
大学英语（二）,3,张向萌,讲师（高校）,000139,,26/1,,地信类1808,1-16,10102,外语网络楼102,大学外语部
大学英语（二）,3,李艳花,讲师（高校）,000140,,31/1,,地信类1809,1-16,10102,外语网络楼447,大学外语部
大学英语（二）,3,李艳花,讲师（高校）,000140,,31/1,,地信类1809,1-16,20304,A座321,大学外语部
工程制图基础B,3,徐绍军,教授,000141,,29/1,,地信类1801,5-16,10708,A座211,机械设计系
工程制图基础B,3,徐绍军,教授,000141,,29/1,,地信类1801,5-16,40102,A座211,机械设计系
工程制图基础B,3,徐海良,教授,000142,,29/1,,地信类1802,5-16,40102,A座112,机械设计系
工程制图基础B,3,徐海良,教授,000142,,29/1,,地信类1802,5-16,10708,A座112,机械设计系
工程制图基础B,3,胡宁,副教授,000143,,27/1,,地信类1803,5-16,10708,A座115,机械设计系
工程制图基础B,3,胡宁,副教授,000143,,27/1,,地信类1803,5-16,40304,A座115,机械设计系
工程制图基础B,3,胡宁,副教授,000144,,28/1,,地信类1812,5-16,40102,A座115,机械设计系
工程制图基础B,3,胡宁,副教授,000144,,28/1,,地信类1812,5-16,10506,A座115,机械设计系
工程制图基础B,3,袁望姣,副教授,000145,,25/1,,地信类1805,5-16,40708,A座313,机械设计系
工程制图基础B,3,袁望姣,副教授,000145,,25/1,,地信类1805,5-16,10506,A座313,机械设计系
工程制图基础B,3,徐海良,教授,000146,,25/1,,地信类1813,5-16,20102,A座112,机械设计系
工程制图基础B,3,徐海良,教授,000146,,25/1,,地信类1813,5-16,40304,A座112,机械设计系
工程制图基础B,3,欧阳立新,副教授,000147,,30/1,,地信类1810,5-16,40102,A座315,机械设计系
工程制图基础B,3,欧阳立新,副教授,000147,,30/1,,地信类1810,5-16,10708,A座315,机械设计系
工程制图基础B,3,周亮,讲师（高校）,000148,,27/1,,地信类1814,5-16,20102,A座115,机械设计系
工程制图基础B,3,周亮,讲师（高校）,000148,,27/1,,地信类1814,5-16,40304,A座313,机械设计系
工程制图基础B,3,何凤桥,讲师（高校）,000149,,27/1,,地信类1807,5-16,30102,A座313,机械设计系
工程制图基础B,3,何凤桥,讲师（高校）,000149,,27/1,,地信类1807,5-16,10304,A座115,机械设计系
工程制图基础B,3,吴波,副教授,000150,,24/1,,地信类1806,5-16,50708,A座313,机械设计系
工程制图基础B,3,吴波,副教授,000150,,24/1,,地信类1806,5-16,20708,A座313,机械设计系
工程制图基础B,3,欧阳立新,副教授,000151,,26/1,,地信类1804,5-16,40708,A座315,机械设计系
工程制图基础B,3,欧阳立新,副教授,000151,,26/1,,地信类1804,5-16,10304,A座315,机械设计系
工程制图基础B,3,陈斌,副教授,000152,,28/1,,地信类1811,5-16,20102,A座211,机械设计系
工程制图基础B,3,陈斌,副教授,000152,,28/1,,地信类1811,5-16,40708,A座211,机械设计系
工程制图基础B,3,张亦军,工程师,000153,,26/1,,地信类1808,5-16,40506,A座313,机械设计系
工程制图基础B,3,张亦军,工程师,000153,,26/1,,地信类1808,5-16,20102,A座313,机械设计系
工程制图基础B,3,周亮,讲师（高校）,000154,,31/1,,地信类1809,5-16,10708,A座311,机械设计系
工程制图基础B,3,周亮,讲师（高校）,000154,,31/1,,地信类1809,5-16,40102,A座311,机械设计系
高等数学A2（二）,5,杨淑平,副教授,000155,,111/4,,"地信类1801,地信类1804,地信类1802,地信类1803",1-16,10506,C座408,高等数学教学研究中心
高等数学A2（二）,5,杨淑平,副教授,000155,,111/4,,"地信类1801,地信类1804,地信类1802,地信类1803",1-16,50102,C座408,高等数学教学研究中心
高等数学A2（二）,5,杨淑平,副教授,000155,,111/4,,"地信类1801,地信类1804,地信类1802,地信类1803",1-16,20506,C座408,高等数学教学研究中心
高等数学A2（二）,5,杨淑平,副教授,000166,,108/4,,"地信类1812,地信类1811,地信类1813,地信类1814",1-16,20708,C座408,高等数学教学研究中心
高等数学A2（二）,5,杨淑平,副教授,000166,,108/4,,"地信类1812,地信类1811,地信类1813,地信类1814",1-16,10708,C座408,高等数学教学研究中心
高等数学A2（二）,5,杨淑平,副教授,000166,,108/4,,"地信类1812,地信类1811,地信类1813,地信类1814",1-16,50304,C座408,高等数学教学研究中心
地理信息系统原理与应用,2.5,周晓光,教授,000169,,58/2,,"地信类1801,地信类1802",7-16,40708,B座401,地理信息系
地理信息系统原理与应用,2.5,周晓光,教授,000169,,58/2,,"地信类1801,地信类1802",7-16,20910,B座401,地理信息系
地理信息系统原理与应用,2.5,张山山,副教授,000171,,53/2,,"地信类1804,地信类1803",7-16,20910,B座205,地理信息系
地理信息系统原理与应用,2.5,张山山,副教授,000171,,53/2,,"地信类1804,地信类1803",7-16,50708,B座205,地理信息系
地理信息系统原理与应用,2.5,邹滨,教授,000173,,49/2,,"地信类1806,地信类1805",7-16,10304,B座205,地理信息系
地理信息系统原理与应用,2.5,邹滨,教授,000173,,49/2,,"地信类1806,地信类1805",7-16,20910,B座402,地理信息系
地理信息系统原理与应用,2.5,刘慧敏,副教授,000174,,52/2,,"地信类1813,地信类1814",7-16,20910,B座420,地理信息系
地理信息系统原理与应用,2.5,刘慧敏,副教授,000174,,52/2,,"地信类1813,地信类1814",7-16,40506,B座401,地理信息系
地理信息系统原理与应用,2.5,邹艳红,教授,000177,,53/2,,"地信类1807,地信类1808",7-16,50102,B座205,地理信息系
地理信息系统原理与应用,2.5,邹艳红,教授,000177,,53/2,,"地信类1807,地信类1808",7-16,40708,B座402,地理信息系
地理信息系统原理与应用,2.5,邓吉秋,副教授,000180,,56/2,,"地信类1812,地信类1811",7-16,40304,B座401,地理信息系
地理信息系统原理与应用,2.5,邓吉秋,副教授,000180,,56/2,,"地信类1812,地信类1811",7-16,20506,B座401,地理信息系
地理信息系统原理与应用,2.5,赵玲,副教授,000182,,61/2,,"地信类1809,地信类1810",7-16,20708,B座205,地理信息系
地理信息系统原理与应用,2.5,赵玲,副教授,000182,,61/2,,"地信类1809,地信类1810",7-16,40708,B座205,地理信息系
大学物理C（一）,3.5,罗文琛,特聘教授,000183,,85/3,,"地信类1801,地信类1802,地信类1803",1-14,30102,A座301,物理教学中心
大学物理C（一）,3.5,罗文琛,特聘教授,000183,,85/3,,"地信类1801,地信类1802,地信类1803",1-14,10304,A座410,物理教学中心
大学物理C（一）,3.5,邹慧,讲师（高校）,000188,,78/3,,"地信类1813,地信类1814,化学生物环境类1801",1-14,50910,A座417,物理教学中心
大学物理C（一）,3.5,邹慧,讲师（高校）,000188,,78/3,,"地信类1813,地信类1814,化学生物环境类1801",1-14,20506,A座417,物理教学中心
大学物理C（一）,3.5,李晓春,教授,000189,,86/3,,"地信类1812,地信类1811,地信类1810",1-14,40506,A座301,物理教学中心
大学物理C（一）,3.5,李晓春,教授,000189,,86/3,,"地信类1812,地信类1811,地信类1810",1-14,20910,A座301,物理教学中心
大学物理C（一）,3.5,黄生祥,副教授,000190,,76/3,,"计算机信息类1801,机械类1817,机械类1816",1-14,10708,A座420,物理教学中心
大学物理C（一）,3.5,黄生祥,副教授,000190,,76/3,,"计算机信息类1801,机械类1817,机械类1816",1-14,40506,A座417,物理教学中心
大学物理C（一）,3.5,张剑,讲师（高校）,000191,,84/3,,"地信类1807,地信类1809,地信类1808",1-14,50304,A座404,物理教学中心
大学物理C（一）,3.5,张剑,讲师（高校）,000191,,84/3,,"地信类1807,地信类1809,地信类1808",1-14,20910,A座404,物理教学中心
大学物理C（一）,3.5,袁亚华,,000193,,75/3,,"地信类1804,地信类1806,地信类1805",1-14,40506,A座401,物理教学中心
大学物理C（一）,3.5,袁亚华,,000193,,75/3,,"地信类1804,地信类1806,地信类1805",1-14,10910,A座421,物理教学中心
地理信息系统概论,2,刘慧敏,副教授,000197,,0/0,,,1-16,40910,B座207,地球科学与信息物理学院
放射性测量与辐射防护基础,2,严家斌,教授,000198,,0/0,,,1-16,40910,B座320,地球科学与信息物理学院
宝玉石鉴赏,2,王智琳,副教授,000199,,0/0,,,1-16,40910,B座211,地球科学与信息物理学院
“互联网+”背景下的创新理论与实践,2,"刘逸峰,郭克华","讲师（高校）,教授",000205,,0/0,,,1-16,10304,科教南206,信息科学与工程学院
电子科技制作理论和实践,2,"余伶俐,陈明义","副教授,教授",000208,,0/0,,,1-16,20102,B座507,信息科学与工程学院
铁路旅客运输,2,"周文梁,史峰","副教授,教授",000296,,62/2,,"交运1601,交运1602",9-16,20304,世主201,交通运输系
铁路旅客运输,2,"周文梁,史峰","副教授,教授",000296,,62/2,,"交运1601,交运1602",9-16,40304,世主201,交通运输系
铁路旅客运输,2,"史峰,周文梁","教授,副教授",000298,,61/2,,"交运1605,交运1606",9-16,10506,世主405,交通运输系
铁路旅客运输,2,"史峰,周文梁","教授,副教授",000298,,61/2,,"交运1605,交运1606",9-16,40506,世主405,交通运输系
铁路旅客运输,2,"周文梁,史峰","副教授,教授",000299,,61/2,,"交运1603,交运1604",9-16,50304,世主404,交通运输系
铁路旅客运输,2,"周文梁,史峰","副教授,教授",000299,,61/2,,"交运1603,交运1604",9-16,30910,世主404,交通运输系
城市轨道交通运营管理,2,"陈维亚,黎茂盛","副教授,教授",000302,,62/2,,"交运1602,交运1601","1-4,7-10",20708,世主201,交通运输系
城市轨道交通运营管理,2,"陈维亚,黎茂盛","副教授,教授",000302,,62/2,,"交运1602,交运1601","1-4,7-10",40506,世主201,交通运输系
城市轨道交通运营管理,2,"陈维亚,黎茂盛","副教授,教授",000306,,61/2,,"交运1603,交运1604","1-4,7-10",50506,世主404,交通运输系
城市轨道交通运营管理,2,"陈维亚,黎茂盛","副教授,教授",000306,,61/2,,"交运1603,交运1604","1-4,7-10",20910,世主404,交通运输系
国际货物运输,2,"李夏苗,冯芬玲","教授,副教授",000308,,0/6,,"交运1603,交运1601,交运1602,交运1604,交运1605,交运1606","2-4,7-8",40304,世Ｃ101,交通运输系
国际货物运输,2,"李夏苗,冯芬玲","教授,副教授",000308,,0/6,,"交运1603,交运1601,交运1602,交运1604,交运1605,交运1606","2-4,7-8",20304,世Ｃ101,交通运输系
国际货物运输,2,"李夏苗,冯芬玲","教授,副教授",000308,,0/6,,"交运1603,交运1601,交运1602,交运1604,交运1605,交运1606","2-4,7-8",20304,世Ｃ101,交通运输系
高速铁路运营管理,2,张英贵,副教授,000314,,0/2,,"交运1602,交运1601","1-4,7-10",30910,世主201,交通运输系
高速铁路运营管理,2,张英贵,副教授,000314,,0/2,,"交运1602,交运1601","1-4,7-10",10506,世主201,交通运输系
高速铁路运营管理,2,叶峻青,副教授,000316,,0/2,,"交运1606,交运1605","1-4,7-10",20910,世主405,交通运输系
高速铁路运营管理,2,叶峻青,副教授,000316,,0/2,,"交运1606,交运1605","1-4,7-10",50506,世主405,交通运输系
高速铁路运营管理,2,"张云丽,邓连波","副教授,教授",000317,,0/2,,"交运1603,交运1604","1-4,7-10",10910,世主404,交通运输系
高速铁路运营管理,2,"张云丽,邓连波","副教授,教授",000317,,0/2,,"交运1603,交运1604","1-4,7-10",40506,世主404,交通运输系
人力资源管理,2,王美云,副教授,000320,,0/6,,"交运1603,交运1602,交运1605,交运1601,交运1604,交运1606","1-4,7",50304,世Ａ504,交通运输系
人力资源管理,2,王美云,副教授,000320,,0/6,,"交运1603,交运1602,交运1605,交运1601,交运1604,交运1606","1-4,7",30102,世Ａ504,交通运输系
人力资源管理,2,王美云,副教授,000320,,0/6,,"交运1603,交运1602,交运1605,交运1601,交运1604,交运1606","1-4,7-8",20506,世Ａ504,交通运输系
交通运输法规,2,郑国华,副教授,000326,,0/4,,"交运1604,交运1601,交运1603,交运1602",11-18,30102,世Ａ504,物流系
交通运输法规,2,郑国华,副教授,000326,,0/4,,"交运1604,交运1601,交运1603,交运1602",11-18,50102,世Ａ504,物流系
交通运输法规,2,郑国华,副教授,000328,,0/3,,"物流1601,交运1606,交运1605",11-18,50304,世Ａ504,物流系
交通运输法规,2,郑国华,副教授,000328,,0/3,,"物流1601,交运1606,交运1605",11-18,30910,世Ａ504,物流系
供应链管理,2,成耀荣,教授,000332,,0/4,,"交运1602,交运1603,交运1604,交运1601","1-4,7-10",40708,世Ａ504,物流系
供应链管理,2,成耀荣,教授,000332,,0/4,,"交运1602,交运1603,交运1604,交运1601","1-4,7-10",50708,世Ａ504,物流系
供应链管理,2,成耀荣,教授,000334,,0/2,,"交运1605,交运1606","1-4,7-10",50102,世主405,物流系
供应链管理,2,成耀荣,教授,000334,,0/2,,"交运1605,交运1606","1-4,7-10",20708,世主405,物流系
智能交通系统,1.5,黄合来,教授,000338,,0/6,,"交运1605,交运1602,交运1604,交运1601,交运1606,交运1603",11-16,10304,世Ｃ101,交通运输系
智能交通系统,1.5,黄合来,教授,000338,,0/6,,"交运1605,交运1602,交运1604,交运1601,交运1606,交运1603",11-16,20910,世Ｃ101,交通运输系
运输管理信息系统,1.5,"张英贵,雷定猷","副教授,教授",000350,,0/6,,"交运1601,交运1606,交运1605,交运1602,交运1604,交运1603",10-15,20506,世Ｃ101,交通运输系
运输管理信息系统,1.5,"张英贵,雷定猷","副教授,教授",000350,,0/6,,"交运1601,交运1606,交运1605,交运1602,交运1604,交运1603",10-15,50910,世Ｃ101,交通运输系
铁路货物运输,3.5,冯芬玲,副教授,000356,,62/2,,"交运1602,交运1601","2-4,7-12",20102,世主201,交通运输系
铁路货物运输,3.5,冯芬玲,副教授,000356,,62/2,,"交运1602,交运1601","2-4,7-13",10102,世主201,交通运输系
铁路货物运输,3.5,冯芬玲,副教授,000356,,62/2,,"交运1602,交运1601","2-4,7-12",40102,世主201,交通运输系
铁路货物运输,3.5,周文梁,副教授,000358,,61/2,,"交运1606,交运1605","2-4,7-12",20102,世主405,交通运输系
铁路货物运输,3.5,周文梁,副教授,000358,,61/2,,"交运1606,交运1605","2-4,7-12",40102,世主405,交通运输系
铁路货物运输,3.5,周文梁,副教授,000358,,61/2,,"交运1606,交运1605","2-4,7-13",10102,世主405,交通运输系
铁路货物运输,3.5,朱晓立,副教授,000359,,61/2,,"交运1604,交运1603","2-4,7-12",40102,世主404,交通运输系
铁路货物运输,3.5,朱晓立,副教授,000359,,61/2,,"交运1604,交运1603","2-4,7-12",20102,世主404,交通运输系
铁路货物运输,3.5,朱晓立,副教授,000359,,61/2,,"交运1604,交运1603","2-4,7-13",10102,世主404,交通运输系
铁路行车组织,3.5,肖龙文,副教授,000362,,62/2,,"交运1601,交运1602",7-16,30304,世主201,交通运输系
铁路行车组织,3.5,肖龙文,副教授,000362,,62/2,,"交运1601,交运1602",1-4,10708,世主201,交通运输系
铁路行车组织,3.5,肖龙文,副教授,000362,,62/2,,"交运1601,交运1602",1-4,30304,世主201,交通运输系
铁路行车组织,3.5,肖龙文,副教授,000362,,62/2,,"交运1601,交运1602",7-16,10708,世主201,交通运输系
铁路行车组织,3.5,李夏苗,教授,000364,,61/2,,"交运1605,交运1606","1-4,7-16",30304,世主405,交通运输系
铁路行车组织,3.5,李夏苗,教授,000364,,61/2,,"交运1605,交运1606","1-4,7-16",10708,世主405,交通运输系
铁路行车组织,3.5,邓连波,教授,000365,,61/2,,"交运1604,交运1603","1-4,7-16",30304,世主404,交通运输系
铁路行车组织,3.5,邓连波,教授,000365,,61/2,,"交运1604,交运1603","1-4,7-16",10708,世主404,交通运输系
物流系统规划,2,张得志,教授,000369,,29/1,,物流1601,11-18,40304,世主406,物流系
物流系统规划,2,张得志,教授,000369,,29/1,,物流1601,11-18,20304,世主406,物流系
采购与库存控制,2,谢楚农,副教授,000370,,29/1,,物流1601,11-18,40708,世主406,物流系
采购与库存控制,2,谢楚农,副教授,000370,,29/1,,物流1601,11-18,20910,世主406,物流系
铁路货物运输,2,朱晓立,副教授,000371,,29/1,,物流1601,"1-4,9-12",20708,世主406,交通运输系
铁路货物运输,2,朱晓立,副教授,000371,,29/1,,物流1601,"1-4,9-12",40506,世主406,交通运输系
技术经济学,2,夏伟怀,副教授,000372,,0/1,,物流1601,"1-6,9-10",10304,世主406,物流系
技术经济学,2,夏伟怀,副教授,000372,,0/1,,物流1601,"1-6,9-10",20102,世主406,物流系
物流项目管理,2,郑国华,副教授,000373,,0/1,,物流1601,"1-6,9-10",30910,世主406,物流系
物流项目管理,2,郑国华,副教授,000373,,0/1,,物流1601,"1-6,9-10",50304,世主406,物流系
生产运作管理,2,夏伟怀,副教授,000375,,0/1,,物流1601,1-6,10102,世主406,物流系
生产运作管理,2,夏伟怀,副教授,000375,,0/1,,物流1601,1-5,20304,世主406,物流系
生产运作管理,2,夏伟怀,副教授,000375,,0/1,,物流1601,1-5,40304,世主406,物流系
物流中心规划设计与运作,3,罗荣武,副教授,000376,,29/1,,物流1601,"1-6,9-14",30304,世主406,物流系
物流中心规划设计与运作,3,罗荣武,副教授,000376,,29/1,,物流1601,"1-6,9-14",10708,世主406,物流系
铁路行车组织,3,肖龙文,副教授,000377,,0/1,,物流1601,"1-4,9-16",30102,世主406,交通运输系
铁路行车组织,3,肖龙文,副教授,000377,,0/1,,物流1601,"1-4,9-16",10506,世主406,交通运输系
创新创业导论,2,高恒天,教授,000391,,73/3,,"交设1602,交设1601,交设1603","1-9,12-18",10506,世Ａ102,创新创业教研室
创新创业导论,2,高恒天,教授,000393,,83/3,,"交设1604,交设1606,交设1605","1-9,12-18",10708,世Ａ102,创新创业教研室
交通运输企业管理,2,成耀荣,教授,000397,,0/3,,"交设1603,交设1601,交设1602",1-8,50506,世Ａ502,物流系
交通运输企业管理,2,成耀荣,教授,000397,,0/3,,"交设1603,交设1601,交设1602",1-8,10708,世Ａ502,物流系
交通运输企业管理,2,毛成辉,副教授,000399,,0/3,,"交设1606,交设1605,交设1604",1-8,20506,世Ａ305,物流系
交通运输企业管理,2,毛成辉,副教授,000399,,0/3,,"交设1606,交设1605,交设1604",1-8,10304,世Ａ305,物流系
列车通信网络及控制技术,2,李蔚,研究员,000403,,0/3,,"交设1603,交设1602,交设1601",1-8,50102,世Ａ102,交通设备系
列车通信网络及控制技术,2,李蔚,研究员,000403,,0/3,,"交设1603,交设1602,交设1601",1-8,20708,世Ａ102,交通设备系
结构力学,2,"汪馗,刘项","特聘教授,特聘教授",000409,,0/3,,"交设1603,交设1601,交设1602",12-19,40102,世Ａ104,交通设备系
结构力学,2,"汪馗,刘项","特聘教授,特聘教授",000409,,0/3,,"交设1603,交设1601,交设1602",12-19,10708,世Ａ104,交通设备系
结构力学,2,"汪馗,刘项","特聘教授,特聘教授",000411,,0/3,,"交设1604,交设1606,交设1605",12-19,50102,世Ａ305,交通设备系
结构力学,2,"汪馗,刘项","特聘教授,特聘教授",000411,,0/3,,"交设1604,交设1606,交设1605",12-19,20506,世Ａ305,交通设备系
现代控制理论,2,"李蔚,韩锟","研究员,副教授",000415,,0/3,,"交设1603,交设1601,交设1602",12-19,20708,世Ａ102,交通设备系
现代控制理论,2,"李蔚,韩锟","研究员,副教授",000415,,0/3,,"交设1603,交设1601,交设1602",12-19,50506,世Ａ102,交通设备系
